term,E,P,A
insurance_claims_clerk,0.57,0.62,-0.32
insurance_sales_supervisor,0.92,0.92,0.15
insurance_underwriters,0.31,0.9,-0.55
irrigation_pump_installer,0.96,0.79,1.41
janitor,1.89,-0.6,0.64
jewelry_maker,1.85,0.52,-0.39
journalist,1.27,1.45,0.79
judge,0.69,2.76,0.25
key_maker,1.34,0.19,0.38
kiln_oven_operator,1.02,0.64,0.86
kindergarten_teachers,2.6,1.26,1.58
kitchen_steward,1.49,0.26,1.54
landlord,0.32,1.93,-0.09
lathe_operator,0.94,0.71,1.1
law_clerk_for_judge,1.22,0.67,0.21
lawn_caretaker,1.57,0.54,1.96
lawn_mower_engine_repairer,1.12,0.53,1.14
lawyer,0.7,2.48,1.24
legal_assistant,1.32,0.34,0.4
legislator,-0.08,2.06,0.66
lens_grinder,1.25,0.02,0.93
librarian,2.39,0.09,-1.62
library_assistant,2.03,-0.45,-1.91
library_circulation_technician,1.52,-0.03,-1.06
licensed_practical_nurse,2.36,1.29,1.04
life_scientist,1.85,1.08,0.07
lifeguard,2.4,1.95,1.81
loan_officer,0.48,1.71,-0.18
loan_processor_for_a_bank,0.79,1.7,-0.34
locksmith,1.57,0.93,0.09
locomotive_electrician,1.38,1.52,1.75
locomotive_engineer,1.66,1.76,1.81
logger,1.1,1.84,2.25
logistics_planner,1.51,0.99,0.09
longshoreman,0.97,1.26,1.46
loom_operator,0.98,0.47,0.82
lumberjack,1.09,1.88,2.72
machine_assembler,1.25,0.84,1.78
machine_attendant_in_a_factory,0.98,0.34,2.12
machine_oiler,1,0.32,0.93
machine_operator_in_a_factory,0.9,0.89,1.92
machine_operator_in_a_shoe_factory,1.06,0.2,1.75
machine_operator_in_a_textile_mill,0.96,0.69,2.28
machinery_mechanic,1.43,1.53,2.18
machinist,1.41,1.49,2.2
maid,1.81,-0.65,0.55
mail_carrier,1.9,0.48,0.93
mail_order_clerk,1.06,-0.36,0.25
mailman,2.06,0.44,0.88
mailroom_clerk_for_a_private_company,0.99,-0.77,0.24
management_consultant,1.39,1.5,0.59
manager,1.17,1.96,1.28
manager_for_a_motel_chain,1.02,0.85,0
manager_of_a_cement_factory,1.08,1.61,1.46
manager_of_a_movie_theater,1.48,0.65,0.46
manager_of_an_automobile_plant,1.21,1.86,1.54
manicurist,1.37,-0.48,-0.36
marine_engineer,1.69,1.82,1.29
market_research_analyst,1.27,0.62,-0.05
market_research_interviewer,0.98,0.4,0.01
marketing_manager,1,1.46,1.06
